[DEBUG] 2018-11-01 16:00:32.691 [http-nio-8080-exec-4] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2018-11-01 16:00:32.708 [http-nio-8080-exec-4] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2018-11-01 16:00:32.717 [http-nio-8080-exec-4] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2018-11-01 16:00:32.915 [http-nio-8080-exec-4] Version - HHH000412: Hibernate Core {5.2.12.Final}
[INFO ] 2018-11-01 16:00:32.928 [http-nio-8080-exec-4] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2018-11-01 16:00:33.141 [http-nio-8080-exec-4] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2018-11-01 16:00:33.145 [http-nio-8080-exec-4] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2018-11-01 16:00:33.226 [http-nio-8080-exec-4] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2018-11-01 16:00:33.934 [http-nio-8080-exec-4] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2018-11-01 16:00:34.008 [http-nio-8080-exec-4] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2018-11-01 16:00:34.034 [http-nio-8080-exec-4] Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
[DEBUG] 2018-11-01 16:00:34.082 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@19bd64b5
[DEBUG] 2018-11-01 16:00:34.082 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@19bd64b5
[DEBUG] 2018-11-01 16:00:34.082 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@19bd64b5
[DEBUG] 2018-11-01 16:00:34.083 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@595b2c3f
[DEBUG] 2018-11-01 16:00:34.084 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7d07f82f
[DEBUG] 2018-11-01 16:00:34.085 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@e4b7a4d
[DEBUG] 2018-11-01 16:00:34.087 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@52ddc979
[DEBUG] 2018-11-01 16:00:34.087 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@52ddc979
[DEBUG] 2018-11-01 16:00:34.087 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@52ddc979
[DEBUG] 2018-11-01 16:00:34.088 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7e0b8e3d
[DEBUG] 2018-11-01 16:00:34.089 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7e0b8e3d
[DEBUG] 2018-11-01 16:00:34.091 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7e0b8e3d
[DEBUG] 2018-11-01 16:00:34.093 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b1c7060
[DEBUG] 2018-11-01 16:00:34.093 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b1c7060
[DEBUG] 2018-11-01 16:00:34.093 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5b1c7060
[DEBUG] 2018-11-01 16:00:34.094 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@62429cfc
[DEBUG] 2018-11-01 16:00:34.094 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@62429cfc
[DEBUG] 2018-11-01 16:00:34.094 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@62429cfc
[DEBUG] 2018-11-01 16:00:34.096 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b9e0f3
[DEBUG] 2018-11-01 16:00:34.096 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5b9e0f3
[DEBUG] 2018-11-01 16:00:34.096 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5b9e0f3
[DEBUG] 2018-11-01 16:00:34.097 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1e9c31ca
[DEBUG] 2018-11-01 16:00:34.097 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1e9c31ca
